kernel,host,np,size,nsampRatio,ref_timer,n_timer,tm_div_sum_ns,tr_div_sum_ns,tm_div_mean_ns,tr_div_mean_ns,tm_div_pct_ref,tr_div_pct_ref,reduction,reduction_pct
openblas_gemm,c920bn3,64,32,0.5,cntvcto,4,265.30495379556373,90.60277192593824,66.32623844889093,22.65069298148456,12.059316081616537,4.118307814815376,0.6584957399787036,65.84957399787037
openblas_gemm,c920bn3,64,64,0.5,cntvcto,4,442.35608411071263,154.6941477998077,110.58902102767816,38.673536949951924,5.351829869762892,1.8715618267959007,0.65029496969439,65.02949696943901
openblas_gemm,c920bn3,64,128,0.5,cntvcto,4,403.556472676271,44.1927507837319,100.88911816906776,11.048187695932976,1.177454541526702,0.12894095036509243,0.8904917805167186,89.04917805167186
openblas_gemm,c920bn3,64,256,0.5,cntvcto,4,532.1166791729906,269.4312675143317,133.02916979324766,67.35781687858292,0.3900050136827721,0.19747463157292294,0.49366130012485504,49.366130012485506
openblas_gemm,camd9554n1,64,32,0.5,tsc,4,1250.7920251156334,61.70114959080477,312.69800627890834,15.425287397701192,78.01978951041184,3.8486899556143115,0.9506703365932473,95.06703365932474
openblas_gemm,camd9554n1,64,64,0.5,tsc,4,1292.5062831856171,109.88415592329685,323.1265707964043,27.47103898082421,22.261063062238556,1.8925541456714723,0.9149836582206259,91.4983658220626
openblas_gemm,camd9554n1,64,128,0.5,tsc,4,1236.932340563326,43.07925410559762,309.2330851408315,10.769813526399405,5.451080445290042,0.18984747342426014,0.9651725056473353,96.51725056473353
openblas_gemm,camd9554n1,64,256,0.5,tsc,4,1408.2429797269897,119.97613698385497,352.0607449317474,29.994034245963743,1.570836211363605,0.13382836853218055,0.9148043777167529,91.4804377716753
openblas_gemm,cgnr6760pn2,64,32,0.5,tsc,4,370.31214455791013,115.61351614031324,92.57803613947753,28.90337903507831,15.290817218793945,4.773878386932453,0.6877944246783044,68.77944246783045
openblas_gemm,cgnr6760pn2,64,64,0.5,tsc,4,990.9180798928485,965.2457898204574,247.72951997321212,241.31144745511435,8.11892675255814,7.908585002924602,0.025907580650024197,2.5907580650024196
openblas_gemm,cgnr6760pn2,64,128,0.5,tsc,4,554.4830230520722,1254.2991141136183,138.62075576301805,313.5747785284046,1.4014766330335016,3.1702880452297877,-1.2621055324823272,-126.21055324823271
openblas_gemm,cgnr6760pn2,64,256,0.5,tsc,4,1173.1931080663371,5383.314479177365,293.2982770165843,1345.8286197943412,0.7841236948349988,3.5980303761148753,-3.588600497364131,-358.8600497364131
