kernel,host,np,size,nsampRatio,ref_timer,n_timer,tm_div_sum_ns,tr_div_sum_ns,tm_div_mean_ns,tr_div_mean_ns,tm_div_pct_ref,tr_div_pct_ref,reduction,reduction_pct
openblas_axpy,c920bn3,64,64,0.5,cntvcto,4,295.33441495925297,23.905395813814934,73.83360373981324,5.9763489534537335,132.14563137520184,10.696327495481775,0.919056518296003,91.9056518296003
openblas_axpy,c920bn3,64,128,0.5,cntvcto,4,303.58740413722586,30.204578322633257,75.89685103430647,7.551144580658314,88.76824682375025,8.831748047553583,0.9005078013415195,90.05078013415195
openblas_axpy,c920bn3,64,256,0.5,cntvcto,4,326.2512974159926,56.84172613011228,81.56282435399815,14.21043153252807,52.261250554888846,9.105311503084776,0.8257731798147144,82.57731798147144
openblas_axpy,c920bn3,64,512,0.5,cntvcto,4,1286.401672441646,808.302593784489,321.6004181104115,202.07564844612224,43.92504436605945,27.60003197585642,0.3716561389023261,37.16561389023261
openblas_axpy,c920bn3,64,1024,0.5,cntvcto,4,3641.1888843566558,3696.1982077060256,910.2972210891639,924.0495519265064,22.68223898104718,23.02491129441072,-0.015107517104015662,-1.5107517104015662
openblas_axpy,c920bn3,64,2048,0.5,cntvcto,4,4732.167526683714,6453.079679879442,1183.0418816709284,1613.2699199698604,11.773854881405132,16.05556507892477,-0.3636625591743869,-36.366255917438686
openblas_axpy,camd9554n1,64,64,0.5,tsc,4,1216.9812368719834,43.07334118903272,304.24530921799584,10.76833529725818,548.1897463387313,19.40240594100573,0.9646064048614713,96.46064048614713
openblas_axpy,camd9554n1,64,128,0.5,tsc,4,1241.3192946823533,69.93672485706921,310.3298236705883,17.484181214267302,324.9526949430244,18.30804315630084,0.9436593589121921,94.36593589121921
openblas_axpy,camd9554n1,64,256,0.5,tsc,4,1299.328052659127,150.77700857136364,324.83201316478176,37.69425214284091,176.45087311475314,20.475764187188968,0.8839577054749241,88.39577054749242
openblas_axpy,camd9554n1,64,512,0.5,tsc,4,1569.2255010223969,368.9686333933891,392.3063752555992,92.24215834834727,108.43000954655169,25.494916068568468,0.7648721403310135,76.48721403310135
openblas_axpy,camd9554n1,64,1024,0.5,tsc,4,599.050063837243,1243.6643998028892,149.76251595931075,310.9160999507223,3.50033063029585,7.266899471729789,-1.0760608751738363,-107.60608751738363
openblas_axpy,camd9554n1,64,2048,0.5,tsc,4,727.2513624802209,2112.959165841005,181.81284062005523,528.2397914602512,1.4699628447939712,4.270836228839122,-1.9054042038985815,-190.54042038985816
openblas_axpy,cgnr6760pn2,64,64,0.5,tsc,4,359.87745995964207,137.24127422278332,89.96936498991052,34.31031855569583,85.84395640856894,32.737071010666426,0.6186444290282197,61.86444290282197
openblas_axpy,cgnr6760pn2,64,128,0.5,tsc,4,347.14509020079106,28.512115626270813,86.78627255019776,7.128028906567703,77.65095859790709,6.377716904345978,0.9178668619228368,91.78668619228368
openblas_axpy,cgnr6760pn2,64,256,0.5,tsc,4,340.74762873597626,28.151508429647997,85.18690718399407,7.037877107411999,42.83885519408494,3.5392128702007444,0.9173831127333807,91.73831127333807
openblas_axpy,cgnr6760pn2,64,512,0.5,tsc,4,1087.8591294052792,617.6572614958212,271.9647823513198,154.4143153739553,67.55162544048387,38.35400269331806,0.4322267977532277,43.22267977532277
openblas_axpy,cgnr6760pn2,64,1024,0.5,tsc,4,2732.923771279724,2251.040157582588,683.230942819931,562.760039395647,28.729105349037543,23.66343712610088,0.17632530360387189,17.63253036038719
openblas_axpy,cgnr6760pn2,64,2048,0.5,tsc,4,2839.7968560525806,2490.9863006965143,709.9492140131451,622.7465751741286,8.698935536794568,7.6304504692345985,0.12282940401621736,12.282940401621737
