kernel,host,np,size,nsampRatio,n_timer,tm_median_center_ns,tr_median_center_ns,tm_min_ns,tm_max_ns,tr_min_ns,tr_max_ns,tm_spread_pct,tr_spread_pct,spread_delta_pct,spread_reduction_pct,tm_min_timer,tm_max_timer,tr_min_timer,tr_max_timer
jacobi2d5p,c920bn3,64,64,0.5,5,94.36889677005458,55.5,75.5,221.98457406373217,46.58538649118768,74.36890011104529,155.22548114625738,50.06038490064435,-105.16509624561303,67.74989226577034,cntvcto,papix6,papi,cgt
jacobi2d5p,c920bn3,64,128,0.5,5,173.79763442675096,113.86080828825163,134.62698196071764,283.8608147944279,108.91298744197857,144.73355109521853,85.86643502136192,31.45995904276045,-54.40647597860146,63.3617501006839,cntvcto,papix6,papi,cgt
jacobi2d5p,c920bn3,64,256,0.5,5,307.31552295950235,222.92465051499053,243.86790836684887,390.94969388424374,209.64563208838962,267.3140506167416,47.86018750402567,25.86901825129208,-21.991169252733588,45.9487737085941,cntvcto,papix6,papix6,cgt
jacobi2d5p,c920bn3,64,512,0.5,5,895.7900227177895,525.8906122877463,723.2276127564635,902.2478000875103,522.5704174698622,587.463428065219,19.984615009207968,12.339640426943003,-7.6449745822649655,38.254300013998375,cntvcto,cgt,papix6,cgt
jacobi2d5p,c920bn3,64,1024,0.5,5,3928.5087002027867,3673.824540927482,3373.4329148389047,3977.989334386727,3292.947957470621,3820.5195798425993,15.388954580057709,14.360283581719155,-1.0286709983385545,6.6844761480522665,cntvcto,papi,cntvcto,cgt
jacobi2d5p,c920bn3,64,2048,0.5,5,8595.911676646707,8079.53164684709,7777.410386151798,8631.707331845162,7595.451801546878,8417.377063423111,9.938410000352961,10.17293201886246,0.2345220185094976,-2.359753909339307,cntvcto,wtime,cntvcto,wtime
jacobi2d5p,camd9554n1,64,64,0.5,5,79.0,45.5,65.5,675.2453841536883,36.15969846006429,58.0,771.8296001945421,48.000662725133424,-723.8289374694087,93.78092486825659,tsc,papix6,papi,wtime
jacobi2d5p,camd9554n1,64,128,0.5,5,133.93826092369636,95.5,115.5,724.8925229756467,84.5118398008366,113.68455621376515,454.9801668119411,30.547347029244555,-424.43281978269647,93.28600469701993,tsc,papix6,papi,wtime
jacobi2d5p,camd9554n1,64,256,0.5,5,232.1764249863907,200.9265855084791,216.8916956044487,831.9265873238018,194.13843889788092,209.80707966631874,264.8998027062412,7.798191926063766,-257.1016107801774,97.05617299582835,tsc,papix6,papi,wtime
jacobi2d5p,camd9554n1,64,512,0.5,5,441.8635508236447,404.52245072913934,419.9677704362035,1073.9573769783863,398.1819702884957,442.2253488413643,148.00714051275102,10.88774639664171,-137.1193941161093,92.64376951076646,tsc,papix6,tsc,papi
jacobi2d5p,camd9554n1,64,1024,0.5,5,4732.157510577141,4659.491601343785,4712.182670704307,4863.067817509248,4128.381989596879,4693.60463355542,3.1885064363916,12.130564712157273,8.942058275765675,-280.4466120471537,cgt,papi,papix6,tsc
jacobi2d5p,camd9554n1,64,2048,0.5,5,12018.50545070355,11947.532926848045,11840.237569060773,12043.40582115274,11093.323353293414,11973.739048752232,1.6904618708649364,7.369016690302489,5.678554819437553,-335.9173559195441,papix6,wtime,papix6,wtime
jacobi2d5p,cgnr6760pn2,64,64,0.5,5,97.0,59.0,87.5,272.5070623713421,55.5,63.0,190.72893027973413,12.711864406779661,-178.01706587295448,93.33511471587677,tsc,papix6,tsc,papi
jacobi2d5p,cgnr6760pn2,64,128,0.5,5,161.0,123.0,151.0,336.6757483153617,119.0,127.67573793693848,115.32655174867187,7.053445477185752,-108.27310627148611,93.88393620529195,tsc,papix6,tsc,papix6
jacobi2d5p,cgnr6760pn2,64,256,0.5,5,285.7663325571036,247.5584459474482,277.0731256690956,465.14423352093866,244.03012036072,256.1442378695124,65.81289901050941,4.8934373708921965,-60.91946163961721,92.56462267357227,tsc,papix6,tsc,papix6
jacobi2d5p,cgnr6760pn2,64,512,0.5,5,657.9203657025676,568.6034821428572,545.2351243226819,793.2292619496009,511.2519226350575,612.9167405807721,37.693640530810384,17.879738893363314,-19.81390163744707,52.56563536560337,tsc,papix6,tsc,cgt
jacobi2d5p,cgnr6760pn2,64,1024,0.5,5,3147.425614306837,2967.196118401097,2756.80423151751,3217.648975704272,2685.99716553288,3067.2272954174846,14.641958243332612,12.848160845196652,-1.79379739813596,12.251075766814093,tsc,papi,tsc,wtime
jacobi2d5p,cgnr6760pn2,64,2048,0.5,5,7707.337598958898,7547.784789551182,7449.842967380069,7828.669100496907,7353.778258160006,7594.951397087761,4.915136105728772,3.195283724326959,-1.7198523814018132,34.99094113380222,tsc,papi,tsc,wtime
