kernel,host,np,size,nsampRatio,ref_timer,n_timer,tm_div_sum_ns,tr_div_sum_ns,tm_div_mean_ns,tr_div_mean_ns,tm_div_pct_ref,tr_div_pct_ref,reduction,reduction_pct
jacobi2d5p,c920bn3,64,64,0.5,cntvcto,4,318.4209918778269,43.963612452411525,79.60524796945673,10.990903113102881,105.43741452908175,14.557487567023683,0.8619324304181565,86.19324304181565
jacobi2d5p,c920bn3,64,128,0.5,cntvcto,4,351.52378219293297,49.42773631377363,87.88094554823324,12.356934078443407,65.43348527120267,9.200598138481274,0.8593900645770666,85.93900645770665
jacobi2d5p,c920bn3,64,256,0.5,cntvcto,4,385.14154742739885,83.86461085434343,96.28538685684971,20.966152713585856,39.54959300327733,8.611927871252977,0.782249898992909,78.2249898992909
jacobi2d5p,c920bn3,64,512,0.5,cntvcto,4,672.1640663321932,173.82175283005324,168.0410165830483,43.45543820751331,21.395667929719462,5.532923714305777,0.7413998136220689,74.13998136220688
jacobi2d5p,c920bn3,64,1024,0.5,cntvcto,4,2744.2560845047233,1728.8457299961137,686.0640211261808,432.21143249902843,19.282221421628876,12.147549333260958,0.3700129737315927,37.00129737315927
jacobi2d5p,c920bn3,64,2048,0.5,cntvcto,4,4041.3333119071394,2676.006449414178,1010.3333279767849,669.0016123535445,12.821303103658423,8.48974512797432,0.33784069689828483,33.784069689828485
jacobi2d5p,camd9554n1,64,64,0.5,tsc,4,1236.2180358675284,35.89434863300884,309.0545089668821,8.97358715825221,471.8389449876062,13.700133066033908,0.9709643868706223,97.09643868706223
jacobi2d5p,camd9554n1,64,128,0.5,tsc,4,1237.1159384114721,44.78902228793889,309.27898460286804,11.197255571984723,267.7740126431758,9.694593568817941,0.9637956145440575,96.37956145440575
jacobi2d5p,camd9554n1,64,256,0.5,tsc,4,1240.3261593005914,27.16255999724308,310.08153982514784,6.79063999931077,141.51392761330018,3.099088510242588,0.97810046995013,97.810046995013
jacobi2d5p,camd9554n1,64,512,0.5,tsc,4,1309.0023413148126,77.24938048433138,327.25058532870315,19.312345121082846,70.3228948968048,4.1500308236167145,0.9409860639311469,94.0986063931147
jacobi2d5p,camd9554n1,64,1024,0.5,tsc,4,324.84721882813614,1199.2792186485688,81.21180470703403,299.8198046621422,1.7086608710854871,6.3080776304719315,-2.691825415575006,-269.1825415575006
jacobi2d5p,camd9554n1,64,2048,0.5,tsc,4,373.9782500300644,1850.849496885676,93.4945625075161,462.712374221419,0.7705396249471562,3.813464759111719,-3.9490832601545276,-394.90832601545276
jacobi2d5p,cgnr6760pn2,64,64,0.5,tsc,4,377.38724473782975,20.38724027913492,94.34681118445744,5.09681006978373,107.82492706795136,5.824925794038549,0.9459779296640036,94.59779296640036
jacobi2d5p,cgnr6760pn2,64,128,0.5,tsc,4,378.8388567560672,23.838845520394926,94.7097141890168,5.959711380098732,62.72166502583894,3.946828728542206,0.9370739165340035,93.70739165340035
jacobi2d5p,cgnr6760pn2,64,256,0.5,tsc,4,381.7850029918672,29.16186936622924,95.4462507479668,7.29046734155731,34.37669014264953,2.625793415999216,0.9236170380248003,92.36170380248004
jacobi2d5p,cgnr6760pn2,64,512,0.5,tsc,4,821.4290427713506,339.01444190874224,205.35726069283766,84.75361047718556,34.651662892899786,14.301191636970465,0.5872870031902332,58.72870031902332
jacobi2d5p,cgnr6760pn2,64,1024,0.5,tsc,4,1752.2375075600849,1302.7043809962038,438.0593768900212,325.67609524905095,15.097858261939972,11.22453207206815,0.25654805619920584,25.654805619920584
jacobi2d5p,cgnr6760pn2,64,2048,0.5,tsc,4,1186.0022226662904,768.6180529244515,296.5005556665726,192.15451323111287,3.8392299764310938,2.48810787435089,0.35192528459474887,35.192528459474886
