kernel,host,np,size,nsampRatio,ref_timer,n_timer,tm_div_sum_ns,tr_div_sum_ns,tm_div_mean_ns,tr_div_mean_ns,tm_div_pct_ref,tr_div_pct_ref,reduction
gs2d5p,c920bn3,64,64,0.5,cntvcto,4,310.6045472255698,11.368329802434817,77.65113680639244,2.842082450608704,21.842795163542178,0.799460604953222,0.9633993452318044
gs2d5p,c920bn3,64,128,0.5,cntvcto,4,289.8218243036744,14.275570608653652,72.4554560759186,3.568892652163413,10.153792907688748,0.5001389662342267,0.9507436313916244
gs2d5p,c920bn3,64,256,0.5,cntvcto,4,307.8529671359139,8.399107829681455,76.96324178397848,2.0997769574203637,5.437177095300493,0.14834171369977842,0.9727171451104666
gs2d5p,c920bn3,64,512,0.5,cntvcto,4,311.4039874732263,52.390911964435155,77.85099686830658,13.097727991108789,2.7484127141276242,0.46239564790471627,0.8317590202054187
gs2d5p,c920bn3,64,1024,0.5,cntvcto,4,365.97669899903013,168.29120073301095,91.49417474975753,42.07280018325274,1.5968400837716359,0.7342930186854398,0.5401587008317791
gs2d5p,c920bn3,64,2048,0.5,cntvcto,4,516.3488591339242,441.73536420685446,129.08721478348104,110.43384105171361,1.1313817254934804,0.9678946892728921,0.1445021008707553
gs2d5p,camd9554n1,64,64,0.5,tsc,4,1250.5077184249824,39.21258414690166,312.6269296062456,9.803146036725416,159.91147294437116,5.014396949731671,0.9686426692381475
gs2d5p,camd9554n1,64,128,0.5,tsc,4,1230.421693200383,22.97654198688391,307.60542330009577,5.744135496720977,79.79388412453845,1.4900481184749617,0.9813262866593966
gs2d5p,camd9554n1,64,256,0.5,tsc,4,1241.7698794861801,19.895525978510378,310.44246987154503,4.973881494627594,40.917505417182866,0.6555766132290543,0.9839780894131988
gs2d5p,camd9554n1,64,512,0.5,tsc,4,1250.0989598975825,36.4581227142403,312.52473997439563,9.114530678560074,20.786101117127913,0.6062097878562697,0.970835810696757
gs2d5p,camd9554n1,64,1024,0.5,tsc,4,1072.9901782676195,120.69319628901442,268.2475445669049,30.173299072253606,8.208376928127977,0.9233031838187744,0.8875169607946666
gs2d5p,camd9554n1,64,2048,0.5,tsc,4,607.8751669069406,1661.0665883859801,151.96879172673516,415.26664709649503,1.9571063889905356,5.347946765469019,-1.7325784615252626
gs2d5p,cgnr6760pn2,64,64,0.5,tsc,4,354.94058312203697,10.972545281935005,88.73514578050924,2.7431363204837513,36.071197471751724,1.1150960652372974,0.9690862476603235
gs2d5p,cgnr6760pn2,64,128,0.5,tsc,4,348.38096098080473,14.975133310266438,87.09524024520118,3.7437833275666095,18.10711855409588,0.7783333321344302,0.9570150640031918
gs2d5p,cgnr6760pn2,64,256,0.5,tsc,4,349.8714228181182,15.505196492837962,87.46785570452955,3.8762991232094905,9.236310000478307,0.40932408904007295,0.9556831582072411
gs2d5p,cgnr6760pn2,64,512,0.5,tsc,4,365.2524422833476,20.79182732309658,91.3131105708369,5.197956830774145,4.850055969068249,0.2760872058399331,0.9430754598295961
gs2d5p,cgnr6760pn2,64,1024,0.5,tsc,4,408.772506431778,50.87090364236178,102.1931266079445,12.717725910590445,2.563618476271606,0.31903708402648295,0.8755520421703022
gs2d5p,cgnr6760pn2,64,2048,0.5,tsc,4,1703.989754966734,3368.893879291424,425.9974387416835,842.223469822856,4.545981941190349,8.987689446140184,-0.9770622854227156
