kernel,host,np,size,nsampRatio,ref_timer,n_timer,tm_div_sum_ns,tr_div_sum_ns,tm_div_mean_ns,tr_div_mean_ns,tm_div_pct_ref,tr_div_pct_ref,reduction
openblas_gemv,c920bn3,64,64,0.5,cntvcto,4,287.89496572915425,20.47422907018421,71.97374143228856,5.118557267546053,109.88357470578406,7.814591248161913,0.9288829903005461
openblas_gemv,c920bn3,64,128,0.5,cntvcto,4,310.0273069984103,29.208079132033674,77.50682674960258,7.302019783008419,73.4661864925143,6.921345765884756,0.9057886886970784
openblas_gemv,c920bn3,64,256,0.5,cntvcto,4,326.48225354395396,26.372114963852095,81.62056338598849,6.593028740963024,41.74964879078695,3.3723932178838996,0.9192234350333482
openblas_gemv,c920bn3,64,512,0.5,cntvcto,4,336.2780256505524,94.73606673674392,84.0695064126381,23.68401668418598,20.40935161946206,5.749711695655824,0.7182805312554378
openblas_gemv,c920bn3,64,1024,0.5,cntvcto,4,674.1719440151539,611.2277356332488,168.54298600378849,152.8069339083122,14.002823275616153,12.695446672332936,0.09336521482491457
openblas_gemv,c920bn3,64,2048,0.5,cntvcto,4,1160.0196929629592,800.8770773044087,290.0049232407398,200.21926932610216,9.290008350449101,6.413817611007402,0.3096004471624245
openblas_gemv,camd9554n1,64,64,0.5,tsc,4,1207.5023770133755,45.031750450752284,301.8755942533439,11.257937612688071,357.5836421442549,13.33547464986301,0.9627066982989024
openblas_gemv,camd9554n1,64,128,0.5,tsc,4,1213.3773098250558,32.29492025835328,303.34432745626395,8.07373006458832,208.4840738531024,5.548955370851079,0.9733842721494358
openblas_gemv,camd9554n1,64,256,0.5,tsc,4,1207.861664129647,34.81028708356541,301.9654160324117,8.702571770891353,111.75288959823116,3.220691810047268,0.9711802368455426
openblas_gemv,camd9554n1,64,512,0.5,tsc,4,1227.7571113521321,40.54974419656742,306.93927783803304,10.137436049141854,59.0782599703465,1.9512070483856283,0.9669725030939468
openblas_gemv,camd9554n1,64,1024,0.5,tsc,4,1446.5174542145498,181.69424725068228,361.62936355363746,45.42356181267057,35.31222596750741,4.43550010213746,0.8743919427164181
openblas_gemv,camd9554n1,64,2048,0.5,tsc,4,667.2830327392993,1421.0572179373355,166.82075818482483,355.2643044843339,4.995971899271985,10.63950614618172,-1.1296168915065583
openblas_gemv,cgnr6760pn2,64,64,0.5,tsc,4,334.56320546050637,26.52277523099041,83.64080136512659,6.630693807747602,98.40094278250187,7.800816244408944,0.9207241717017763
openblas_gemv,cgnr6760pn2,64,128,0.5,tsc,4,331.6967546572033,40.02505488434079,82.92418866430083,10.006263721085197,56.9925695287291,6.877157196622129,0.879332389230925
openblas_gemv,cgnr6760pn2,64,256,0.5,tsc,4,340.20998717655755,28.67291868328998,85.05249679413939,7.168229670822495,32.43145021550674,2.73332462261845,0.9157199383790878
openblas_gemv,cgnr6760pn2,64,512,0.5,tsc,4,348.3221118696999,70.36808334557733,87.08052796742497,17.592020836394333,16.59534213627148,3.352593415115622,0.7979798555771832
openblas_gemv,cgnr6760pn2,64,1024,0.5,tsc,4,458.47765328933366,144.48560293575184,114.61941332233341,36.12140073393796,9.541661064887926,3.006978948871254,0.6848579164128407
openblas_gemv,cgnr6760pn2,64,2048,0.5,tsc,4,1670.8304310903814,1176.796445975558,417.70760777259534,294.1991114938895,12.161015833662178,8.56522597757977,0.29568170169872804
