host,expr,batch,batch_root,batch_done,timer,interval_ns,interval_us,fsize_kib,rkern,fkern,run_dirs,n_measured,n_theory,w1_ns,r_l_pct,r_h_pct,w1_rel,theory_mean_ns,measured_mean_ns
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvct,10000,10.0,16,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize16_rsize0/cntvct_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize16_rsize0/cntvct_walks/w0001_ta10053;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize16_rsize0/cntvct_walks/w0002_ta10170,300,300,29.8,13.586659507871865,9.204952796983715,0.002935671362427347,10151.0,10180.8
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvct,10000,10.0,32,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize32_rsize0/cntvct_walks/w0002_ta10170;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize32_rsize0/cntvct_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize32_rsize0/cntvct_walks/w0001_ta10053,300,300,47.06666666666667,12.049968696785179,8.766036330710728,0.004636653203296884,10151.0,10198.066666666668
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvct,10000,10.0,64,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize64_rsize0/cntvct_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize64_rsize0/cntvct_walks/w0001_ta10053;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize64_rsize0/cntvct_walks/w0002_ta10170,300,300,51.4,12.963449058583713,9.262697130672139,0.005063540537878042,10151.0,10202.4
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvct,10000,10.0,128,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize128_rsize0/cntvct_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize128_rsize0/cntvct_walks/w0001_ta10053;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize128_rsize0/cntvct_walks/w0002_ta10170,300,300,158.33333333333334,14.582876515263596,64.20398989533618,0.015597806455849999,10151.0,10309.333333333334
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvct,10000,10.0,256,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize256_rsize0/cntvct_walks/w0002_ta10170;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize256_rsize0/cntvct_walks/w0001_ta10053;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize256_rsize0/cntvct_walks/w0000_ta10230,300,300,29.933333333333334,13.753528567141752,8.651083435502105,0.0029488063573375367,10151.0,10180.933333333332
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvct,10000,10.0,512,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize512_rsize0/cntvct_walks/w0001_ta10053;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize512_rsize0/cntvct_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize512_rsize0/cntvct_walks/w0002_ta10170,300,300,115.93333333333334,14.168021839084707,91.63254839734165,0.011420878074409746,10151.0,10266.933333333332
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvct,10000,10.0,1024,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize1024_rsize0/cntvct_walks/w0001_ta10053;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize1024_rsize0/cntvct_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize1024_rsize0/cntvct_walks/w0002_ta10170,300,300,144.0,16.040407336471095,19.46552559100876,0.01418579450300463,10151.0,10295.0
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvct,10000,10.0,2048,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize2048_rsize0/cntvct_walks/w0001_ta10053;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize2048_rsize0/cntvct_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize2048_rsize0/cntvct_walks/w0002_ta10170,300,300,126.4,38.8293246936286,194.77113152403084,0.01245197517485962,10151.0,10277.4
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvct,10000,10.0,4096,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize4096_rsize0/cntvct_walks/w0001_ta10053;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize4096_rsize0/cntvct_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize4096_rsize0/cntvct_walks/w0002_ta10170,300,300,382.8,152.2040891593223,818.0470390104649,0.037710570387153974,10151.0,10533.8
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvct,10000,10.0,8192,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize8192_rsize0/cntvct_walks/w0001_ta10053;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize8192_rsize0/cntvct_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvct/interval10000_fkerncopy_rkernnone_fsize8192_rsize0/cntvct_walks/w0002_ta10170,300,300,764.7,360.7205251447804,1196.3285616868734,0.07533247955866418,10151.0,10915.7
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvcto,10000,10.0,16,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize16_rsize0/cntvcto_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize16_rsize0/cntvcto_walks/w0001_ta10053;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize16_rsize0/cntvcto_walks/w0002_ta10170,300,300,62.86666666666667,14.376290376688763,11.934652463941772,0.006193150100154336,10151.0,10213.866666666667
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvcto,10000,10.0,32,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize32_rsize0/cntvcto_walks/w0001_ta10053;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize32_rsize0/cntvcto_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize32_rsize0/cntvcto_walks/w0002_ta10170,300,300,59.4,23.641722932632874,17.467512115148175,0.00585164023248941,10151.0,10210.4
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvcto,10000,10.0,64,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize64_rsize0/cntvcto_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize64_rsize0/cntvcto_walks/w0001_ta10053;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize64_rsize0/cntvcto_walks/w0002_ta10170,300,300,85.66666666666667,25.92815306222109,16.618015577278143,0.008439234229796736,10151.0,10236.666666666666
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvcto,10000,10.0,128,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize128_rsize0/cntvcto_walks/w0002_ta10170;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize128_rsize0/cntvcto_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize128_rsize0/cntvcto_walks/w0001_ta10053,300,300,41.53333333333333,26.67754343870175,17.041870892599402,0.00409155091452402,10151.0,10192.533333333333
c920bn3,assess.expr1.fsize.np128,20260520_184947,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947,True,cntvcto,10000,10.0,256,none,copy,/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize256_rsize0/cntvcto_walks/w0001_ta10053;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize256_rsize0/cntvcto_walks/w0000_ta10230;/astrum/home/hpchzy/code/data/20260520/c920bn3/outputAssessing/assess.expr1.fsize.np128/20260520_184947/cntvcto/interval10000_fkerncopy_rkernnone_fsize256_rsize0/cntvcto_walks/w0002_ta10170,300,300,42.1,25.76352720165684,17.68384501063655,0.004147374642892326,10151.0,10193.1
