kernel,host,np,size,nsampRatio,ref_timer,n_timer,tm_div_sum_ns,tr_div_sum_ns,tm_div_mean_ns,tr_div_mean_ns,tm_div_pct_ref,tr_div_pct_ref,reduction
openblas_dot,c920bn3,64,64,0.5,cntvcto,4,295.2836936037673,15.923162968429516,73.82092340094182,3.980790742107379,112.70369984876614,6.077543117721189,0.9460750345740516
openblas_dot,c920bn3,64,128,0.5,cntvcto,4,308.403051959443,29.595666365682668,77.10076298986075,7.398916591420667,73.0812919335173,7.013191081915324,0.9040357539341903
openblas_dot,c920bn3,64,256,0.5,cntvcto,4,296.95869106571877,36.51723676648727,74.23967276642969,9.129309191621818,36.992947207041354,4.549050937023208,0.8770292371796393
openblas_dot,c920bn3,64,512,0.5,cntvcto,4,548.2271990988982,363.2345291616397,137.05679977472454,90.80863229040993,24.001037157413233,15.902176042329707,0.33743796411656407
openblas_dot,c920bn3,64,1024,0.5,cntvcto,4,2069.4543104148875,1812.6116510481663,517.3635776037219,453.1529127620416,20.21465394063606,17.705787013658565,0.12411129739570279
openblas_dot,c920bn3,64,2048,0.5,cntvcto,4,2462.919986972046,1854.3670699957595,615.7299967430115,463.5917674989399,9.828532736213687,7.400040419021879,0.24708594684168014
openblas_dot,camd9554n1,64,64,0.5,tsc,4,1244.5078228737937,14.42120719902549,311.1269557184484,3.6053017997563725,412.08868307079257,4.775234171862746,0.9884121200895915
openblas_dot,camd9554n1,64,128,0.5,tsc,4,1220.639115299553,21.79209400508997,305.15977882488824,5.448023501272493,211.8387988705079,3.781962220486894,0.9821469804367674
openblas_dot,camd9554n1,64,256,0.5,tsc,4,1221.5955951481728,20.919009122898018,305.3988987870432,5.2297522807245045,113.30189105978268,1.9402192527009754,0.9828756675237024
openblas_dot,camd9554n1,64,512,0.5,tsc,4,1256.2819922596052,52.242178505552474,314.0704980649013,13.060544626388118,60.72016643097577,2.5250332275067584,0.9584152452813661
openblas_dot,camd9554n1,64,1024,0.5,tsc,4,519.6396091353625,1404.968398076682,129.90990228384064,351.2420995191705,5.050483819775838,13.655175696843893,-1.7037361536285378
openblas_dot,camd9554n1,64,2048,0.5,tsc,4,500.0430525677788,1671.8467243958294,125.0107631419447,417.96168109895734,1.8137788025961616,6.064198141194969,-2.3434055644023117
openblas_dot,cgnr6760pn2,64,64,0.5,tsc,4,331.7485383769349,34.55354326718657,82.93713459423373,8.638385816796642,99.32590969369308,10.345372235684602,0.8958441733119963
openblas_dot,cgnr6760pn2,64,128,0.5,tsc,4,347.7040162815698,23.693930866749344,86.92600407039245,5.923482716687336,62.45700307479608,4.256067930490022,0.9318560334156105
openblas_dot,cgnr6760pn2,64,256,0.5,tsc,4,347.73174017364397,20.7997176246067,86.93293504341099,5.199929406151675,32.59122129187748,1.9494573592091697,0.9401845870779005
openblas_dot,cgnr6760pn2,64,512,0.5,tsc,4,755.1691696597202,348.66232914000705,188.79229241493005,87.16558228500176,34.58679006297278,15.968754108786493,0.5382990419257786
openblas_dot,cgnr6760pn2,64,1024,0.5,tsc,4,2790.0866578295954,2298.880658290098,697.5216644573989,574.7201645725245,51.22330142834637,42.20523279337547,0.17605402977755752
openblas_dot,cgnr6760pn2,64,2048,0.5,tsc,4,2109.3769407382206,1685.615245773083,527.3442351845551,421.40381144327074,11.26112467527176,8.998829498224447,0.2008942483351664
