kernel,host,np,size,nsampRatio,n_timer,tm_median_center_ns,tr_median_center_ns,tm_min_ns,tm_max_ns,tr_min_ns,tr_max_ns,tm_spread_pct,tr_spread_pct,spread_delta_pct,spread_reduction_pct,tm_min_timer,tm_max_timer,tr_min_timer,tr_max_timer
polybench_gemm,c920bn3,64,32,0.5,5,752.2028931322099,706.0,744.2872897401844,899.5017717861361,700.2791524884566,714.2872877298938,20.634656349117588,1.9841551333480496,-18.650501215769538,90.38435581490602,cntvcto,papix6,papix6,cntvcto
polybench_gemm,c920bn3,64,64,0.5,5,2883.4906718374646,2795.1126801446653,2872.686581452521,3034.9694092749087,2792.6865879929055,2804.490673141805,5.627999057093372,0.4223116024177088,-5.205687454675663,92.49623892730686,cntvcto,papix6,cntvcto,wtime
polybench_gemm,c920bn3,64,128,0.5,5,11416.23225924891,11176.232262816402,11396.000544635848,11599.261165705466,11156.000549020806,11199.261163720512,1.7804527488037496,0.3870769118107453,-1.3933758369930043,78.25963581056479,cntvcto,papix6,cntvcto,papix6
polybench_gemm,c920bn3,64,256,0.5,5,45391.34958110329,44504.27275630415,45365.14132688099,45581.14230078665,43407.77471826189,44535.93281478826,0.47586374033606077,2.534943336123978,2.0590795957879173,-432.7036126631061,cntvcto,papix6,cgt,papix6
polybench_gemm,camd9554n1,64,32,0.5,5,546.0906591270232,515.8237829099737,535.8179761660518,1335.6614484609981,512.1096627848458,704.6614375515588,146.46715869001875,37.32898349130965,-109.13817519870909,74.5137518709486,tsc,papix6,wtime,papix6
polybench_gemm,camd9554n1,64,64,0.5,5,2086.0925565143316,2045.0503183745013,2072.0207750369136,3367.7104627720764,2033.6182428850086,2736.710475611955,62.11084372498509,34.380192331198785,-27.730651393786303,44.647037023957225,tsc,papix6,papi,papix6
polybench_gemm,camd9554n1,64,128,0.5,5,8145.546152813878,8086.916126442466,8130.256751603973,11412.744861876685,8083.321782310382,10770.555350764469,40.29794993106481,33.22939828283138,-7.068551648233429,17.54072269265598,tsc,papix6,tsc,papix6
polybench_gemm,camd9554n1,64,256,0.5,5,32449.435690132967,32353.500100623867,32431.581584040494,43421.226144397486,32276.64042368682,42702.14939981804,33.86698204954811,32.223743779518266,-1.643238270029851,4.852036321470151,tsc,papix6,papi,papix6
polybench_gemm,cgnr6760pn2,64,32,0.5,5,729.2723183477055,690.9137265612285,724.2409213549205,1359.6712860758907,689.5653696578818,1125.1747901231713,87.13211083627161,63.048308887041046,-24.083801949230555,27.640558363708184,tsc,papix6,tsc,papix6
polybench_gemm,cgnr6760pn2,64,64,0.5,5,3302.303119560193,3250.772187300845,3294.517013773866,3831.252567794993,3008.9963620013077,3605.0594290054696,16.253370286995654,18.33604548890521,2.0826752019095562,-12.813805168617291,tsc,papix6,papi,papix6
polybench_gemm,cgnr6760pn2,64,128,0.5,5,11188.614061046757,11053.729239854307,11141.311823514832,11993.109497280806,11019.429221665909,11706.078125800994,7.6130758386913495,6.211920784701032,-1.4011550539903168,18.404585527302043,tsc,papix6,tsc,papix6
polybench_gemm,cgnr6760pn2,64,256,0.5,5,45084.444795770265,44719.56867251969,44918.84647929753,45437.676834793114,44522.02888360564,44845.98480068827,1.150796816609043,0.7244164617394823,-0.4263803548695607,37.05088063468408,wtime,papix6,wtime,papix6
