kernel,host,np,size,nsampRatio,n_timer,tm_median_center_ns,tr_median_center_ns,tm_min_ns,tm_max_ns,tr_min_ns,tr_max_ns,tm_spread_pct,tr_spread_pct,spread_delta_pct,spread_reduction_pct,tm_min_timer,tm_max_timer,tr_min_timer,tr_max_timer
npb_ft_fft,c920bn3,64,64,0.5,5,3657.4420487993184,3552.097804747457,3648.602095701791,3800.1773205830787,3539.667178451379,3569.1773799355597,4.144296009585377,0.8307823462726571,-3.3135136633127193,79.95359539108371,cntvcto,papix6,cgt,papix6
npb_ft_fft,c920bn3,64,128,0.5,5,7333.865408361263,7157.901755205128,7322.1451971205215,7520.036346237637,7146.165804412594,7180.526195899773,2.6983198913290942,0.48003441039396594,-2.218285480935128,82.20987763769111,cntvcto,papix6,cntvcto,papix6
npb_ft_fft,c920bn3,64,256,0.5,5,14599.548684880789,14276.435959988434,14573.911549288909,14796.1991389803,14271.277416645575,14312.389301646794,1.5225648031270431,0.2879702267179314,-1.2345945764091117,81.08650442158533,cntvcto,papix6,cgt,papi
npb_ft_fft,c920bn3,64,512,0.5,5,29096.455674651705,28470.427969486773,29075.81521876341,29278.180318558483,27686.596143240888,28512.637484359293,0.6954974243525078,2.9014012083124165,2.2059037839599087,-317.1692240289106,cntvcto,papix6,cgt,cntvcto
npb_ft_fft,c920bn3,64,1024,0.5,5,58129.12214218603,56928.402550170416,58108.2557508145,58356.21634642007,54470.646299107844,57010.19048373987,0.42656862252117583,4.460944047031621,4.034375424510445,-945.7740704568981,cntvcto,papi,cgt,cntvcto
npb_ft_fft,c920bn3,64,2048,0.5,5,116287.11579043114,113814.42684027855,116231.02460488505,116562.21997264022,108704.49140740492,113938.21770116886,0.2848083087313251,4.5984735319264,4.313665223195075,-1514.5854565866566,cntvcto,papix6,cgt,papi
npb_ft_fft,c920bn3,64,4096,0.5,5,232948.45932100376,228080.273958213,232812.5797558094,233423.8773822366,219636.2144121892,228367.76908847358,0.2624175442967107,3.8282813874048998,3.5658638431081893,-1358.8511593860248,cntvcto,papi,cgt,papi
npb_ft_fft,camd9554n1,64,64,0.5,5,3891.638968712853,3848.9188559750614,3874.0690472153137,4487.990337118001,3833.268437454789,3855.99033434343,15.775391675290463,0.5903449186352017,-15.18504675665526,96.25781133814965,tsc,papix6,tsc,papix6
npb_ft_fft,camd9554n1,64,128,0.5,5,7726.440300948642,7665.180508198688,7707.767461454208,8317.38379809294,7646.972288900368,7676.383805383805,7.890002548313017,0.3837028554249816,-7.506299692888035,95.13684750954836,tsc,papix6,cgt,papix6
npb_ft_fft,camd9554n1,64,256,0.5,5,15396.091009328069,15278.567169692828,15371.910770844162,15974.635040197001,15271.092625166246,15302.04708266394,3.9147876495901763,0.20260052630521533,-3.712187123284961,94.82473777788626,tsc,papix6,papi,papix6
npb_ft_fft,camd9554n1,64,512,0.5,5,30693.6202759821,30601.115041292593,30682.36547700755,31306.759671089516,30510.22879023573,30605.321357965135,2.0342800506024226,0.3107487018073927,-1.7235313487950301,84.72438926413456,tsc,papix6,papi,wtime
npb_ft_fft,camd9554n1,64,1024,0.5,5,61377.11095165486,61081.11349755291,61335.06381711563,61967.13304525813,61017.56682277634,61187.048808172534,1.029812609851194,0.27747035980767804,-0.7523422500435158,73.05622817652504,tsc,papix6,papi,wtime
npb_ft_fft,camd9554n1,64,2048,0.5,5,123174.8887159533,122552.55916096311,123054.07229217043,123805.47373540857,122173.59500730314,122735.90495796877,0.6100281080593479,0.458831667421224,-0.15119644063812396,24.78515967389071,tsc,papix6,papi,cgt
npb_ft_fft,camd9554n1,64,4096,0.5,5,247252.99813641445,246233.57699951658,247040.9490291262,247560.89465113365,244828.06397115707,246608.06529996358,0.21028890485711538,0.7228913905636857,0.5126024857065703,-243.76107054001133,wtime,papi,papix6,cgt
npb_ft_fft,cgnr6760pn2,64,64,0.5,5,4618.188713368274,4532.160536564258,4449.738670766695,5070.950250756738,4353.8822405335995,4837.490926074193,13.451411766518362,10.670599190804658,-2.7808125757137034,20.673016512923706,tsc,papix6,tsc,papix6
npb_ft_fft,cgnr6760pn2,64,128,0.5,5,9114.13941435605,8959.717242237184,8933.204908431188,10038.881889197739,8741.820247685464,9767.64979706247,12.131446870616823,11.449351822634778,-0.682095047982044,5.62253666241678,tsc,papix6,tsc,papix6
npb_ft_fft,cgnr6760pn2,64,256,0.5,5,18149.250151607033,17935.983203217413,17724.58091829008,19805.15433793649,17368.518866821294,19491.53413091616,11.463688043674807,11.836626071962602,0.37293802828779615,-3.253211591827711,tsc,papix6,tsc,papix6
npb_ft_fft,cgnr6760pn2,64,512,0.5,5,36021.346421933085,35835.765432098764,35034.241761390775,39092.19350997321,34818.12427930813,38729.15338370932,11.265408297207848,10.913759081864088,-0.351649215343762,3.1214955203258707,tsc,papix6,papi,papix6
npb_ft_fft,cgnr6760pn2,64,1024,0.5,5,71755.77534541895,71487.9785008158,69896.36626785024,77908.09020483194,69528.21752814429,77373.61037955074,11.165267044241036,10.974422575562011,-0.1908444686790245,1.7092691820341253,tsc,papix6,papi,papix6
npb_ft_fft,cgnr6760pn2,64,2048,0.5,5,143386.915693904,142797.16738364662,140551.55324183626,155763.47065453668,139090.3574875173,154924.73400673398,10.608999669937907,11.08871892162622,0.4797192516883139,-4.5218141824216085,papi,papix6,papi,papix6
npb_ft_fft,cgnr6760pn2,64,4096,0.5,5,288759.25599500217,287611.3848266392,283929.7459001939,314100.33719766035,281098.5747495603,311592.7867028845,10.448354700702172,10.60257471090891,0.1542200102067376,-1.4760219634998932,tsc,papix6,papi,papix6
