kernel,host,np,size,nsampRatio,ref_timer,n_timer,tm_div_sum_ns,tr_div_sum_ns,tm_div_mean_ns,tr_div_mean_ns,tm_div_pct_ref,tr_div_pct_ref,reduction
npb_ft_fft,c920bn3,64,64,0.5,cntvcto,4,454.9750239761038,42.11836570510764,113.74375599402595,10.52959142627691,3.05983809286681,0.2832581416613151,0.9074270817395027
npb_ft_fft,c920bn3,64,128,0.5,cntvcto,4,435.28230360724956,92.38886753978157,108.82057590181239,23.097216884945393,1.4779342751016027,0.313692224203233,0.787749543746343
npb_ft_fft,c920bn3,64,256,0.5,cntvcto,4,1061.0787005138563,127.14006847997618,265.2696751284641,31.785017119994045,1.8149896193569321,0.21747482480209568,0.8801784745859047
npb_ft_fft,c920bn3,64,512,0.5,cntvcto,4,1227.9796650218095,1253.3775799010843,306.9949162554524,313.3443949752711,1.047147604955268,1.0688054275513923,-0.020682683600321463
npb_ft_fft,c920bn3,64,1024,0.5,cntvcto,4,2319.951190889414,3352.181651661465,579.9877977223535,838.0454129153662,0.9938707548237162,1.4360799147527417,-0.4449362834984119
npb_ft_fft,c920bn3,64,2048,0.5,cntvcto,4,4431.032998313505,5287.995498698114,1107.7582495783763,1321.9988746745285,0.9465003141520708,1.129553628388118,-0.1934001621542374
npb_ft_fft,c920bn3,64,4096,0.5,cntvcto,4,6571.764652129912,9103.195572192373,1642.941163032478,2275.7988930480933,0.7022413902005403,0.9727434033736916,-0.3851980486309751
npb_ft_fft,camd9554n1,64,64,0.5,tsc,4,1953.0084270070338,67.321092269033,488.25210675175845,16.83027306725825,11.848158760258706,0.4084114426172188,0.9655295433762148
npb_ft_fft,camd9554n1,64,128,0.5,tsc,4,1463.375493077299,65.1117657288119,365.8438732693248,16.277941432202976,4.679498289394681,0.20821067305611085,0.9555057700249648
npb_ft_fft,camd9554n1,64,256,0.5,tsc,4,1391.009080869944,39.60450408686071,347.752270217486,9.901126021715177,2.2351177669222726,0.0636377806242119,0.9715282203175181
npb_ft_fft,camd9554n1,64,512,0.5,tsc,4,1302.781423448834,129.80767808787485,325.6953558622085,32.45191952196871,1.0557763157281732,0.10519636652635131,0.9003611229393823
npb_ft_fft,camd9554n1,64,1024,0.5,tsc,4,1548.7432629905468,187.8335226571902,387.1858157476367,46.95838066429755,0.6261983420458064,0.07594611920469987,0.8787187475511643
npb_ft_fft,camd9554n1,64,2048,0.5,tsc,4,1660.979324661802,1331.753306473392,415.2448311654505,332.938326618348,0.335640489114112,0.2691125196606999,0.1982119905408484
npb_ft_fft,camd9554n1,64,4096,0.5,tsc,4,1912.0875573308408,3313.049063909689,478.0218893327102,828.2622659774222,0.19262845091696765,0.33376479363931666,-0.7326869008731515
npb_ft_fft,cgnr6760pn2,64,64,0.5,tsc,4,1312.85305181696,787.7355726066028,328.21326295424,196.9338931516507,7.3027491477432225,4.381781550904243,0.3999819160900042
npb_ft_fft,cgnr6760pn2,64,128,0.5,tsc,4,2009.066240706717,1388.8647233755357,502.26656017667926,347.21618084388393,5.529036697927412,3.8222154493516927,0.3087013781651205
npb_ft_fft,cgnr6760pn2,64,256,0.5,tsc,4,3851.2988701532922,3180.2489291898573,962.8247175383231,795.0622322974643,5.386521839250436,4.447974797305758,0.17423990284522511
npb_ft_fft,cgnr6760pn2,64,512,0.5,tsc,4,6704.0511700357565,5939.716125406108,1676.0127925089391,1484.929031351527,4.7411009290309805,4.2005636481729,0.1140109204485042
npb_ft_fft,cgnr6760pn2,64,1024,0.5,tsc,4,14445.552803350149,12017.317296584242,3611.388200837537,3004.3293241460606,5.067706038947724,4.215846376036726,0.16809571359586603
npb_ft_fft,cgnr6760pn2,64,2048,0.5,tsc,4,22634.882884636405,22965.956271180905,5658.720721159101,5741.489067795226,3.9933752338677873,4.051785090422289,-0.01462668873666753
npb_ft_fft,cgnr6760pn2,64,4096,0.5,tsc,4,42219.83983276571,40196.64252115908,10554.959958191428,10049.16063028977,3.7081105884455137,3.5304159452777593,0.047920534981198075
