kernel,host,np,size,nsampRatio,ref_timer,n_timer,tm_div_sum_ns,tr_div_sum_ns,tm_div_mean_ns,tr_div_mean_ns,tm_div_pct_ref,tr_div_pct_ref,reduction
tl_f90_cg_calc_w,c920bn3,64,64,0.5,cntvcto,4,341.26302314474935,40.368136563695586,85.31575578618734,10.092034140923897,71.09646315515612,8.410028450769913,0.8817096086423253
tl_f90_cg_calc_w,c920bn3,64,128,0.5,cntvcto,4,344.72932906263367,20.80229077819833,86.18233226565842,5.2005726945495825,38.594935238339,2.328966518679324,0.9396561620249644
tl_f90_cg_calc_w,c920bn3,64,256,0.5,cntvcto,4,605.3281702228417,91.78932011845801,151.33204255571042,22.947330029614502,26.418932752286402,4.006051584704733,0.8483643672412151
tl_f90_cg_calc_w,c920bn3,64,512,0.5,cntvcto,4,1351.4726333639533,956.3429270662995,337.8681583409883,239.08573176657487,12.780444580938957,9.043829285185575,0.2923697428590438
tl_f90_cg_calc_w,c920bn3,64,1024,0.5,cntvcto,4,2812.565046630629,2244.33413874057,703.1412616576572,561.0835346851425,8.311565100499427,6.632354805007061,0.20203298358229368
tl_f90_cg_calc_w,c920bn3,64,2048,0.5,cntvcto,4,3018.532867295048,2506.267201066513,754.633216823762,626.5668002666282,3.7364879962129014,3.102380435724366,0.16970683731119487
tl_f90_cg_calc_w,camd9554n1,64,64,0.5,tsc,4,1232.362520817617,32.18077924000765,308.09063020440425,8.045194810001913,266.41289631246383,6.956860873401439,0.9738869215053236
tl_f90_cg_calc_w,camd9554n1,64,128,0.5,tsc,4,1237.4802394916535,15.817098151290109,309.3700598729134,3.9542745378225272,150.9708953433543,1.9296643238642095,0.9872183024451464
tl_f90_cg_calc_w,camd9554n1,64,256,0.5,tsc,4,1202.9102084283365,59.63055089529264,300.72755210708414,14.90763772382316,73.38911303771917,3.638038159035885,0.9504280947343502
tl_f90_cg_calc_w,camd9554n1,64,512,0.5,tsc,4,1323.8415622051273,298.36871233786485,330.9603905512818,74.59217808446621,10.53216630232453,2.373749992044668,0.7746190172176866
tl_f90_cg_calc_w,camd9554n1,64,1024,0.5,tsc,4,1248.6067609159095,223.38062141974137,312.1516902289774,55.84515535493534,2.875031683935256,0.5143543862343023,0.82109609813751
tl_f90_cg_calc_w,camd9554n1,64,2048,0.5,tsc,4,1434.9114579697948,244.4244417478297,358.7278644924487,61.10611043695742,1.5257094107605764,0.25989106778908594,0.8296588682247634
tl_f90_cg_calc_w,cgnr6760pn2,64,64,0.5,tsc,4,366.5432213356705,4.17169872390471,91.63580533391763,1.0429246809761774,65.22310278653578,0.7423166459666245,0.9886188081484547
tl_f90_cg_calc_w,cgnr6760pn2,64,128,0.5,tsc,4,365.50901546381164,8.447777900656963,91.37725386595291,2.1119444751642407,35.4752780319985,0.8199175864324195,0.9768876346594703
tl_f90_cg_calc_w,cgnr6760pn2,64,256,0.5,tsc,4,353.24791628598933,71.07517497893949,88.31197907149733,17.76879374473487,15.26744775479297,3.071883712896982,0.7987952038720674
tl_f90_cg_calc_w,cgnr6760pn2,64,512,0.5,tsc,4,375.08074573092546,92.3092259946979,93.77018643273136,23.077306498674474,5.041511960576958,1.240741019688925,0.7538950558104135
tl_f90_cg_calc_w,cgnr6760pn2,64,1024,0.5,tsc,4,422.7228657002814,82.07113647535367,105.68071642507034,20.517784118838417,1.6080487283357925,0.312200728540287,0.8058512014972389
tl_f90_cg_calc_w,cgnr6760pn2,64,2048,0.5,tsc,4,382.66896528314095,163.37556524817307,95.66724132078524,40.84389131204327,0.6392181673011188,0.27290592881617853,0.5730629341020907
